from,to,value,count
0x5d17a0e20f3d154dedb6bfca002fc8752f42b267,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,10762.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x4df7a9b4a34abe36ca7d5c893314af8fb83597e5,10729.6,18
0x309a0aab9ed9591e860abbad7c72dac82b22db5a,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,10627.0,4
0xc0286341083e9cfa85963b38709f38f307d6f0e9,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,10419.95,6
0xaab5315eccaf3ba642481074c19e3448a0dd0fca,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,10406.7,6
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x6ee79068e5c27112ae8cbd48cb94d3a1fab4ec8c,10303.6,11
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x764ef5b4924cd180847b82f333b2f892e81eae2e,10086.7,8
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x93da2fb1fa307ebec387f5ec5bf31faa2ad01ee0,10032.4,11
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xaa429970acfb9adac26d68794c1da804e8adfc67,10000.0,11
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xca4d89974b6167558b54cc0d0747708791b35b89,10000.0,1
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xfc3432b0cbe50d9c1bfe34d2795460d3c6eab39c,9971.5,17
0x601e3135fae3a42f6129ab7b9b74c6050046378a,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,9900.0,1
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xf98f49f2036dc17c0c0ae114a1f5a17679430e09,9846.0,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe4fa63db19b559353e55a600fd0eec425efe55e8,9792.1,3
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x94116808813d471cd3e58f1db74ca5715ea21a4f,9743.0,4
0x9c0c1074bd21d0731cef99435cf02a53eae87b80,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,9676.65330052,3
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xcbc61fa9c6aafaaf842bbbe0348d72a4b417495a,9645.5,6
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x847ef56c0dc4690f8e5b1f626b424167cdbac56a,9627.4,33
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xf1bec13865c6c0b69a633de7a34c2b4e71827450,9470.4,9
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe3abeddf8e652843b1d96312e8bb35310370336f,9450.4,18
0xcaa712cf1da527a04e833572793a3ecab1e19176,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,9400.0,6
0xd88d6f985260fcd20b881218cd92c41dfb268098,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,9232.470000000001,5
0x5a08d95b757a4e39cf5fd4d6612758f8b2742515,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,9131.0,11
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x5e4843dfbb85dfb710b24fcb17b28cd80ba980d2,9036.93,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xa82ece9d8ed093f4709526bc77f314909e4bf103,9002.0,6
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x13bbf37f6acb219a225c90bdce12ef42f4cbbbcc,9000.0,3
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x562b4b5af9af4508e080d973b7bed303c5bbfbff,8910.6,18
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xac6031e0818295ace177ddc002648b1c563ff228,8882.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x88e53415a4de06d0efe714b28ef8c214481ea83d,8878.0,17
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xa2e3197ba6a36225777fe13535180bccb11f12db,8827.95,11
0xa8f7b14ae026b6a214eefcdceaec9a4b2d1ffd51,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8799.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe0970077de27064ba97406f93d5b6973cb351c1f,8780.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x32849b7d8c60d558e3c2cfea17f7066a2b6599c3,8620.2,11
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xd89270fd1b25640b261bcf1f5e6b04bd796653d9,8500.0,6
0x8747d3afe91c84b3758e798a2e4d52d6fbdbe57b,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8400.0,1
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x6a418a6da7a58bc3be6a7742a40c301392cca19a,8347.1,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe85497834979d60b2709cab01b3b811aee98bf30,8308.4,2
0xa01ce7d5b9e15fa6b2eae7e4179beae752f452b9,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8295.0,9
0xc297e268fc38abc011033cc5d875b731b4a2abec,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8260.0,3
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xb5f499dab1438eea1870b887df1b54738ad2f59e,8233.0,5
